ACTION_TYPE,EVENTTIME,EVENT_TYPE,GAME_DATE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,HTM,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,QUARTER,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TIME,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME,VTM
Jump Shot,611,Made Shot,20160101,249,21500491,Shot Chart Detail,MIA,160.5514,120.752,10,3,2547,Chris Bosh,3.0,11,1,19,1,614.25,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612748,Miami Heat,DAL
Jump Bank Shot,37,Missed Shot,20160101,337,21500491,Shot Chart Detail,MIA,74.4324,80.5081,0,3,2547,Chris Bosh,3.0,37,1,11,0,39.37,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612748,Miami Heat,DAL
Jump Shot,700,Missed Shot,20160101,349,21500491,Shot Chart Detail,MIA,0.1985,41.6042,11,4,2547,Chris Bosh,4.0,40,1,19,0,701.33,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612748,Miami Heat,DAL
Jump Shot,663,Made Shot,20160101,355,21500491,Shot Chart Detail,MIA,22.1559,240.256,11,4,2547,Chris Bosh,4.0,3,1,25,1,666.64,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612748,Miami Heat,DAL
Jump Shot,458,Made Shot,20160101,388,21500491,Shot Chart Detail,MIA,132.1129,173.2992,7,4,2547,Chris Bosh,4.0,38,1,19,1,463.09,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612748,Miami Heat,DAL
Jump Shot,397,Missed Shot,20160101,397,21500491,Shot Chart Detail,MIA,-33.515,239.1608,6,4,2547,Chris Bosh,4.0,37,1,24,0,399.25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612748,Miami Heat,DAL
Jump Shot,365,Missed Shot,20160101,411,21500491,Shot Chart Detail,MIA,-20.3322,155.6237,6,4,2547,Chris Bosh,4.0,5,1,16,0,368.83,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612748,Miami Heat,DAL
Running Jump Shot,277,Missed Shot,20160101,428,21500491,Shot Chart Detail,MIA,195.1176,122.8674,4,4,2547,Chris Bosh,4.0,37,1,6,0,297.76,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,DAL
Jump Shot,86,Missed Shot,20160101,464,21500491,Shot Chart Detail,MIA,20.6884,249.3078,1,4,2365,Chris Andersen,4.0,26,1,24,0,47.58,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612748,Miami Heat,DAL
Jump Shot,9,Missed Shot,20160101,479,21500491,Shot Chart Detail,MIA,-127.2585,192.0038,0,4,2365,Chris Andersen,4.0,9,1,5,0,7.87,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,DAL
