2025-05-28 00:50:49 - Episode 43, Reward: -542.00, Variance: 2643.0456, Epsilon Home: 0.1835, Epsilon Away: 0.3500, Score: 28-25
2025-05-28 00:50:55 - Episode 44, Reward: -588.00, Variance: 2680.9333, Epsilon Home: 0.1831, Epsilon Away: 0.3500, Score: 34-20
2025-05-28 00:51:02 - Episode 45, Reward: -545.00, Variance: 2810.0233, Epsilon Home: 0.1828, Epsilon Away: 0.3500, Score: 31-39
2025-05-28 00:51:08 - Episode 46, Reward: -650.00, Variance: 2600.5556, Epsilon Home: 0.1824, Epsilon Away: 0.3500, Score: 16-9
2025-05-28 00:51:15 - Episode 47, Reward: -614.00, Variance: 2185.9067, Epsilon Home: 0.1820, Epsilon Away: 0.3500, Score: 32-26
2025-05-28 00:51:21 - Episode 48, Reward: -675.00, Variance: 2072.0056, Epsilon Home: 0.1817, Epsilon Away: 0.3500, Score: 32-9
2025-05-28 00:51:27 - Episode 49, Reward: -678.00, Variance: 2168.5122, Epsilon Home: 0.1813, Epsilon Away: 0.3500, Score: 71-24
2025-05-28 00:51:34 - Episode 50, Reward: -646.00, Variance: 2196.2222, Epsilon Home: 0.1809, Epsilon Away: 0.3500, Score: 45-2
2025-05-28 00:51:40 - Episode 51, Reward: -647.00, Variance: 2208.4489, Epsilon Home: 0.1806, Epsilon Away: 0.3500, Score: 34-6
2025-05-28 00:51:46 - Episode 52, Reward: -562.00, Variance: 2129.5122, Epsilon Home: 0.1802, Epsilon Away: 0.3500, Score: 56-14
2025-05-28 00:51:53 - Episode 53, Reward: -563.00, Variance: 2176.2933, Epsilon Home: 0.1799, Epsilon Away: 0.3500, Score: 26-23
2025-05-28 00:52:00 - Episode 54, Reward: -558.00, Variance: 2222.5733, Epsilon Home: 0.1795, Epsilon Away: 0.3500, Score: 41-9
2025-05-28 00:52:06 - Episode 55, Reward: -630.00, Variance: 2230.1789, Epsilon Home: 0.1791, Epsilon Away: 0.3500, Score: 17-37
2025-05-28 00:52:13 - Episode 56, Reward: -657.00, Variance: 2305.1567, Epsilon Home: 0.1788, Epsilon Away: 0.3500, Score: 26-11
2025-05-28 00:52:19 - Episode 57, Reward: -544.00, Variance: 2381.3789, Epsilon Home: 0.1784, Epsilon Away: 0.3500, Score: 24-51
2025-05-28 00:52:25 - Episode 58, Reward: -572.00, Variance: 2413.5656, Epsilon Home: 0.1781, Epsilon Away: 0.3500, Score: 54-8
2025-05-28 00:52:31 - Episode 59, Reward: -623.00, Variance: 2419.4933, Epsilon Home: 0.1777, Epsilon Away: 0.3500, Score: 15-37
2025-05-28 00:52:37 - Episode 60, Reward: -624.00, Variance: 2407.9122, Epsilon Home: 0.1774, Epsilon Away: 0.3500, Score: 51-15
2025-05-28 00:52:43 - Episode 61, Reward: -601.00, Variance: 2383.8322, Epsilon Home: 0.1770, Epsilon Away: 0.3500, Score: 63-19
2025-05-28 00:52:49 - Episode 62, Reward: -553.00, Variance: 2348.4722, Epsilon Home: 0.1767, Epsilon Away: 0.3500, Score: 69-22
2025-05-28 00:52:55 - Episode 63, Reward: -600.00, Variance: 2188.2500, Epsilon Home: 0.1763, Epsilon Away: 0.3500, Score: 72-8
2025-05-28 00:53:01 - Episode 64, Reward: -527.00, Variance: 1834.0000, Epsilon Home: 0.1759, Epsilon Away: 0.3500, Score: 38-15
2025-05-28 00:53:08 - Episode 65, Reward: -538.00, Variance: 1929.5122, Epsilon Home: 0.1756, Epsilon Away: 0.3500, Score: 61-16
2025-05-28 00:53:14 - Episode 66, Reward: -627.00, Variance: 1890.5167, Epsilon Home: 0.1752, Epsilon Away: 0.3500, Score: 12-36
2025-05-28 00:53:20 - Episode 67, Reward: -581.00, Variance: 1874.7567, Epsilon Home: 0.1749, Epsilon Away: 0.3500, Score: 43-5
2025-05-28 00:53:26 - Episode 68, Reward: -542.00, Variance: 1962.9289, Epsilon Home: 0.1745, Epsilon Away: 0.3500, Score: 99-8
2025-05-28 00:53:32 - Episode 69, Reward: -681.00, Variance: 2094.1289, Epsilon Home: 0.1742, Epsilon Away: 0.3500, Score: 54-18
2025-05-28 00:53:38 - Episode 70, Reward: -594.00, Variance: 2048.4056, Epsilon Home: 0.1738, Epsilon Away: 0.3500, Score: 87-8
2025-05-28 00:53:44 - Episode 71, Reward: -534.00, Variance: 2183.9956, Epsilon Home: 0.1735, Epsilon Away: 0.3500, Score: 57-33
2025-05-28 00:53:49 - Episode 72, Reward: -581.00, Variance: 2188.6900, Epsilon Home: 0.1732, Epsilon Away: 0.3500, Score: 26-15
2025-05-28 00:53:55 - Episode 73, Reward: -571.00, Variance: 2111.5822, Epsilon Home: 0.1728, Epsilon Away: 0.3500, Score: 41-15
2025-05-28 00:54:01 - Episode 74, Reward: -589.00, Variance: 2111.0233, Epsilon Home: 0.1725, Epsilon Away: 0.3500, Score: 47-13
2025-05-28 00:54:07 - Episode 75, Reward: -549.00, Variance: 2097.6989, Epsilon Home: 0.1721, Epsilon Away: 0.3500, Score: 39-17
2025-05-28 00:54:13 - Episode 76, Reward: -510.00, Variance: 2234.8989, Epsilon Home: 0.1718, Epsilon Away: 0.3500, Score: 40-37
2025-05-28 00:54:19 - Episode 77, Reward: -614.00, Variance: 2234.8989, Epsilon Home: 0.1714, Epsilon Away: 0.3500, Score: 29-25
