1,663,0,2
1,565,0,2
1,525,1,2
1,469,1,2
1,448,0,2
1,396,0,2
1,373,1,2
1,330,0,3
1,310,1,2
1,292,0,3
1,256,0,2
1,228,0,2
1,127,0,2
1,56,1,2
1,40,0,2
2,645,0,3
2,631,1,2
2,610,0,3
2,591,0,2
2,580,1,3
2,538,1,2
2,493,0,3
2,473,1,2
2,441,1,2
2,395,1,3
2,379,0,3
2,334,1,2
2,271,0,2
2,237,1,2
2,214,0,2
2,198,1,2
2,182,0,2
2,170,1,3
2,144,0,2
2,116,1,2
2,93,0,2
2,69,0,3
2,47,1,3
2,31,0,2
2,5,0,2
3,697,0,2
3,611,0,2
3,568,1,2
3,511,1,2
3,485,1,2
3,465,0,2
3,446,1,2
3,422,0,2
3,374,0,2
3,340,0,2
3,318,1,3
3,298,0,2
3,226,0,2
3,170,0,2
3,152,1,2
3,130,0,2
3,102,0,2
3,86,1,2
4,663,0,3
4,648,1,2
4,633,1,3
4,608,0,2
4,576,0,2
4,548,1,2
4,532,0,2
4,514,1,2
4,458,0,2
4,422,0,2
4,336,0,2
4,320,1,2
4,228,0,2
4,185,0,2
4,169,1,2
4,149,0,2
4,123,0,2
4,31,1,2
