2025-05-26 21:00:34 - Episode 48/20000, Reward: -768.00, Epsilon Home: 0.1179, Epsilon Away: 0.2752, Score: 104-3
2025-05-26 21:00:40 - Episode 49/20000, Reward: -771.00, Epsilon Home: 0.1173, Epsilon Away: 0.2738, Score: 98-17
2025-05-26 21:00:46 - Episode 50/20000, Reward: -769.00, Epsilon Home: 0.1167, Epsilon Away: 0.2724, Score: 120-0
2025-05-26 21:00:52 - Episode 51/20000, Reward: -785.00, Epsilon Home: 0.1162, Epsilon Away: 0.2710, Score: 94-0
2025-05-26 21:00:58 - Episode 52/20000, Reward: -735.00, Epsilon Home: 0.1156, Epsilon Away: 0.2697, Score: 112-6
2025-05-26 21:01:04 - Episode 53/20000, Reward: -860.00, Epsilon Home: 0.1150, Epsilon Away: 0.2683, Score: 19-66
2025-05-26 21:01:10 - Episode 54/20000, Reward: -803.00, Epsilon Home: 0.1144, Epsilon Away: 0.2670, Score: 53-29
2025-05-26 21:01:16 - Episode 55/20000, Reward: -764.00, Epsilon Home: 0.1139, Epsilon Away: 0.2657, Score: 123-0
2025-05-26 21:01:22 - Episode 56/20000, Reward: -768.00, Epsilon Home: 0.1133, Epsilon Away: 0.2643, Score: 94-25
2025-05-26 21:01:28 - Episode 57/20000, Reward: -754.00, Epsilon Home: 0.1127, Epsilon Away: 0.2630, Score: 125-0
2025-05-26 21:01:34 - Episode 58/20000, Reward: -726.00, Epsilon Home: 0.1122, Epsilon Away: 0.2617, Score: 113-0
2025-05-26 21:01:40 - Episode 59/20000, Reward: -744.00, Epsilon Home: 0.1116, Epsilon Away: 0.2604, Score: 142-2
2025-05-26 21:01:46 - Episode 60/20000, Reward: -775.00, Epsilon Home: 0.1110, Epsilon Away: 0.2591, Score: 60-25
2025-05-26 21:01:52 - Episode 61/20000, Reward: -943.00, Epsilon Home: 0.1105, Epsilon Away: 0.2578, Score: 26-67
2025-05-26 21:01:58 - Episode 62/20000, Reward: -784.00, Epsilon Home: 0.1099, Epsilon Away: 0.2565, Score: 89-20
2025-05-26 21:02:04 - Episode 63/20000, Reward: -775.00, Epsilon Home: 0.1094, Epsilon Away: 0.2552, Score: 99-21
2025-05-26 21:02:10 - Episode 64/20000, Reward: -741.00, Epsilon Home: 0.1088, Epsilon Away: 0.2539, Score: 120-0
2025-05-26 21:02:16 - Episode 65/20000, Reward: -747.00, Epsilon Home: 0.1083, Epsilon Away: 0.2527, Score: 85-21
2025-05-26 21:02:22 - Episode 66/20000, Reward: -781.00, Epsilon Home: 0.1077, Epsilon Away: 0.2514, Score: 52-31
2025-05-26 21:02:28 - Episode 67/20000, Reward: -742.00, Epsilon Home: 0.1072, Epsilon Away: 0.2502, Score: 145-0
2025-05-26 21:02:34 - Episode 68/20000, Reward: -650.00, Epsilon Home: 0.1067, Epsilon Away: 0.2489, Score: 54-10
2025-05-26 21:02:41 - Episode 69/20000, Reward: -639.00, Epsilon Home: 0.1061, Epsilon Away: 0.2477, Score: 40-4
2025-05-26 21:02:47 - Episode 70/20000, Reward: -557.00, Epsilon Home: 0.1056, Epsilon Away: 0.2464, Score: 27-11
2025-05-26 21:02:53 - Episode 71/20000, Reward: -397.00, Epsilon Home: 0.1051, Epsilon Away: 0.2452, Score: 46-20
2025-05-26 21:02:59 - Episode 72/20000, Reward: -498.00, Epsilon Home: 0.1046, Epsilon Away: 0.2440, Score: 22-5
2025-05-26 21:03:05 - Episode 73/20000, Reward: -527.00, Epsilon Home: 0.1040, Epsilon Away: 0.2427, Score: 35-4
2025-05-26 21:03:11 - Episode 74/20000, Reward: -545.00, Epsilon Home: 0.1035, Epsilon Away: 0.2415, Score: 19-27
2025-05-26 21:03:17 - Episode 75/20000, Reward: -522.00, Epsilon Home: 0.1030, Epsilon Away: 0.2403, Score: 21-32
2025-05-26 21:03:23 - Episode 76/20000, Reward: -535.00, Epsilon Home: 0.1025, Epsilon Away: 0.2391, Score: 51-14
2025-05-26 21:03:30 - Episode 77/20000, Reward: -551.00, Epsilon Home: 0.1020, Epsilon Away: 0.2379, Score: 22-11
2025-05-26 21:03:36 - Episode 78/20000, Reward: -490.00, Epsilon Home: 0.1015, Epsilon Away: 0.2367, Score: 23-14
2025-05-26 21:03:42 - Episode 79/20000, Reward: -566.00, Epsilon Home: 0.1010, Epsilon Away: 0.2356, Score: 32-5
2025-05-26 21:03:48 - Episode 80/20000, Reward: -586.00, Epsilon Home: 0.1004, Epsilon Away: 0.2344, Score: 37-32
2025-05-26 21:03:54 - Episode 81/20000, Reward: -555.00, Epsilon Home: 0.0999, Epsilon Away: 0.2332, Score: 21-25
2025-05-26 21:04:00 - Episode 82/20000, Reward: -565.00, Epsilon Home: 0.0994, Epsilon Away: 0.2320, Score: 45-4
2025-05-26 21:04:06 - Episode 83/20000, Reward: -488.00, Epsilon Home: 0.0989, Epsilon Away: 0.2309, Score: 21-14
2025-05-26 21:04:12 - Episode 84/20000, Reward: -540.00, Epsilon Home: 0.0985, Epsilon Away: 0.2297, Score: 11-34
2025-05-26 21:04:19 - Episode 85/20000, Reward: -576.00, Epsilon Home: 0.0980, Epsilon Away: 0.2286, Score: 20-30
2025-05-26 21:04:25 - Episode 86/20000, Reward: -557.00, Epsilon Home: 0.0975, Epsilon Away: 0.2274, Score: 29-34
2025-05-26 21:04:31 - Episode 87/20000, Reward: -508.00, Epsilon Home: 0.0970, Epsilon Away: 0.2263, Score: 50-22
2025-05-26 21:04:37 - Episode 88/20000, Reward: -529.00, Epsilon Home: 0.0965, Epsilon Away: 0.2252, Score: 18-13
2025-05-26 21:04:43 - Episode 89/20000, Reward: -572.00, Epsilon Home: 0.0960, Epsilon Away: 0.2240, Score: 30-16
2025-05-26 21:04:49 - Episode 90/20000, Reward: -495.00, Epsilon Home: 0.0955, Epsilon Away: 0.2229, Score: 29-33
2025-05-26 21:04:55 - Episode 91/20000, Reward: -516.00, Epsilon Home: 0.0951, Epsilon Away: 0.2218, Score: 32-29
2025-05-26 21:05:01 - Episode 92/20000, Reward: -565.00, Epsilon Home: 0.0946, Epsilon Away: 0.2207, Score: 33-17
2025-05-26 21:05:07 - Episode 93/20000, Reward: -543.00, Epsilon Home: 0.0941, Epsilon Away: 0.2196, Score: 61-8
2025-05-26 21:05:13 - Episode 94/20000, Reward: -541.00, Epsilon Home: 0.0936, Epsilon Away: 0.2185, Score: 25-21
2025-05-26 21:05:20 - Episode 95/20000, Reward: -520.00, Epsilon Home: 0.0932, Epsilon Away: 0.2174, Score: 25-9
